ISIN,Mnemonic,SecurityDesc,SecurityType,Currency,SecurityID,Date,Time,StartPrice,MaxPrice,MinPrice,EndPrice,TradedVolume,NumberOfTrades
DE0005140008,DBK,DEUTSCHE BANK AG NA O.N.,Common stock,EUR,2504888,2020-12-07,15:33,9.559,9.559,9.559,9.559,534,1
FR0000120628,AXA,"AXA S.A. INH.     EO 2,29",Common stock,EUR,2505172,2020-12-07,15:33,19.718,19.72,19.718,19.718,949,5
IE00BYZK4883,2B79,ISHSIV-DIGITILISATION DLA,ETF,EUR,2505554,2020-12-07,15:33,7.977,7.977,7.977,7.977,674,1
DE000ENER6Y0,ENR,SIEMENS ENERGY AG NA O.N.,Common stock,EUR,5651167,2020-12-07,15:33,25.32,25.33,25.32,25.33,2666,8
CA0679011084,ABR,BARRICK GOLD CORP.,Common stock,EUR,2504196,2020-12-07,15:33,19.756,19.756,19.754,19.754,1650,2
IE00BDBRDM35,EUNA,ISHSIII-CORE GL.A.BD EOAH,ETF,EUR,2844734,2020-12-07,15:33,5.3684,5.3684,5.3684,5.3684,8326,1
IE00B4L60045,EUNT,ISHSIII-EO C.BD 1-5YR EOD,ETF,EUR,2505659,2020-12-07,15:33,112.11,112.11,112.11,112.11,676,1
DE0005785802,FME,FRESEN.MED.CARE KGAA O.N.,Common stock,EUR,2504974,2020-12-07,15:33,68.34,68.34,68.34,68.34,16,1
IE00B9M6RS56,IS3C,ISHSVI-JPM DL BD EOH DIS,ETF,EUR,2505789,2020-12-07,15:33,93.66,93.66,93.66,93.66,23,1
LU0480132876,UIMI,UBS-ETF-MSCI EM.MKTS DLAD,ETF,EUR,2505976,2020-12-07,15:33,102.735,102.735,102.735,102.735,1138,1
IE00B0M63730,IQQF,IS MSCI AC FEXJ.U.ETF DLD,ETF,EUR,2505578,2020-12-07,15:33,56.33,56.33,56.33,56.33,205,1
FR0010315770,LYYA,LYX.MSCI WORLD U.ETF D,ETF,EUR,2505211,2020-12-07,15:33,215.55,215.55,215.55,215.55,72,1
LU0779800910,XCHA,XTR.CSI300 SWAP 1C,ETF,EUR,2506055,2020-12-07,15:33,14.814,14.814,14.814,14.814,1,1
DE000UNSE018,UN01,UNIPER SE  NA O.N.,Common stock,EUR,2504856,2020-12-07,15:33,27.82,27.82,27.82,27.82,567,4
IE00BJ0KDR00,XD9U,X(IE) - MSCI USA 1C,ETF,EUR,2505425,2020-12-07,15:33,86.196,86.196,86.196,86.196,367,1
IE00BJSFR200,HYLE,ISHS GL.HY.C.BD ETF EOHD,ETF,EUR,4038686,2020-12-07,15:33,4.95,4.95,4.95,4.95,466,1
IE00B86MWN23,EUN0,ISHSVI-E.MSCI EO MIN.VEOA,ETF,EUR,2505782,2020-12-07,15:33,45.68,45.68,45.68,45.68,401,1
DE000A0F5UF5,EXXT,ISHARES NASDAQ-100 U.ETF,ETF,EUR,2504303,2020-12-07,15:33,101.1,101.1,101.1,101.1,987,2
IE00B1YZSC51,IQQY,ISHSII-CORE MSCI EUR.EOD,ETF,EUR,2505598,2020-12-07,15:33,24.095,24.095,24.095,24.095,296,1
LU0290355717,DBXN,XTR.II EUROZ.GOV.BD 1C,ETF,EUR,2505831,2020-12-07,15:33,258.16,258.17,258.16,258.17,33,2
LU1547516291,EMEH,BNP P.EASY-E.M.E.R.UERHEO,ETF,EUR,2712433,2020-12-07,15:33,8.107,8.11,8.106,8.106,12993,4
LU1484799769,UIMC,UBS-BBMSCIEALCSUETF ADEO,ETF,EUR,2506186,2020-12-07,15:33,14.976,14.976,14.976,14.976,536,1
FR0010510800,L8I3,LYX.EUR.OVERN.RET.U.ETF A,ETF,EUR,2505246,2020-12-07,15:33,104.056,104.056,104.056,104.056,532,1
LU1861138961,AMEI,AIS-MSCI E.M. DR ADLA,ETF,EUR,3966572,2020-12-07,15:33,50.92,50.92,50.92,50.92,179,1
IE00B4WXJJ64,EUNH,ISHSIII-C.EO GOV. B.EODIS,ETF,EUR,2505667,2020-12-07,15:33,135.63,135.635,135.63,135.635,1324,2
IE00B9M6SJ31,IBCQ,ISHSVI-G.C.BD EO H DIST,ETF,EUR,2505790,2020-12-07,15:33,108.37,108.37,108.215,108.215,316,3
IE00B4L5ZY03,EUNS,ISHSIII-EO CBX-F1-5YR EOD,ETF,EUR,2505658,2020-12-07,15:33,111.545,111.545,111.45,111.45,341,2
IE00B60SX394,SC0J,IM-I.MSCI WORLD A,ETF,EUR,2505759,2020-12-07,15:33,63.34,63.34,63.34,63.34,473,1
IE00B3F81R35,EUN5,ISHSIII-C.EO CORP.B.EODIS,ETF,EUR,2505627,2020-12-07,15:33,136.47,136.47,136.47,136.47,1,1
LU0484968812,XB4F,XTR.II ESG EUR CORP.BD 1D,ETF,EUR,2505978,2020-12-07,15:33,161.11,161.11,161.11,161.11,89,1
LU0659579733,XWEH,XTR.MSCI WORLD SWAP 4CEOH,ETF,EUR,2506043,2020-12-07,15:33,27.476,27.48,27.476,27.48,6990,3
LU1861134382,XAMB,AIS-AM.MS.W SRI DRHEOCA,ETF,EUR,3577406,2020-12-07,15:33,63.9,63.9,63.9,63.9,283,1
DE0006289499,EXHD,I.EB.R.G.G.5.5-10.5 U.ETF,ETF,EUR,2505034,2020-12-07,15:33,146.375,146.375,146.375,146.375,1,1
LU1681042609,CEUG,AIS-AM.MSCI EUROPE A,ETF,EUR,3089130,2020-12-07,15:33,234.35,234.35,234.35,234.35,2,1
LU0290356871,DBXP,XTR.II EUROZ.GOV.BD1-3 1C,ETF,EUR,2505832,2020-12-07,15:33,168.78,168.78,168.78,168.78,1,1
LU0908508731,XG7S,XTR.II GLOBAL GOV.BD 5C,ETF,EUR,2506071,2020-12-07,15:33,254.43,254.45,254.43,254.45,267,2
IE00BSKRK281,IS06,ISHSIII-EO C.B.BBB-BB EOD,ETF,EUR,2505494,2020-12-07,15:33,5.3314,5.3314,5.3314,5.3314,3094,1
IE00BYVJRP78,QDVS,ISHSIV-SUS.M.EM.MK.SRI DL,ETF,EUR,2505537,2020-12-07,15:33,6.684,6.684,6.684,6.684,1924,1
LU0690964092,XGVD,XTR.II GBL GOV.BD 1DEOH,ETF,EUR,2506047,2020-12-07,15:33,226.65,226.66,226.65,226.66,70,2
IE00BD8D5G25,EUHA,PFIE.-E ST HY CB IU EOA,ETF,EUR,2714884,2020-12-07,15:33,10.531,10.531,10.531,10.531,1,1
IE00BF4RFH31,IUSN,ISHSIII-M.W.S.C.U.ETF DLA,ETF,EUR,3154569,2020-12-07,15:33,5.078,5.083,5.078,5.083,477,2
DE0007164600,SAP,SAP SE O.N.,Common stock,EUR,2505077,2020-12-07,15:33,101.74,101.76,101.74,101.74,866,5
US0378331005,APC,APPLE INC.,Common stock,EUR,2506434,2020-12-07,15:33,102.22,102.22,102.18,102.18,200,3
DE000TCAG172,TC1,TELE COLUMBUS AG NA O.N.,Common stock,EUR,2504853,2020-12-07,15:33,2.315,2.315,2.315,2.315,85,1
DE0007030009,RHM,RHEINMETALL AG,Common stock,EUR,2505071,2020-12-07,15:33,78.24,78.24,78.24,78.24,57,1
DE0007231326,SIX2,SIXT SE ST O.N.,Common stock,EUR,2505085,2020-12-07,15:33,100.6,100.6,100.6,100.6,53,1
LU0061462528,RRTL,RTL GROUP,Common stock,EUR,2505811,2020-12-07,15:33,39.18,39.18,39.18,39.18,29,1
IE00B53SZB19,SXRV,ISHSVII-NASDAQ 100 DL ACC,ETF,EUR,2505731,2020-12-07,15:33,584.3,584.3,584.3,584.3,9,1
IE00B0M62X26,IBCI,IS EO I.L.GO.BD U.ETF EOA,ETF,EUR,2505571,2020-12-07,15:33,225.29,225.29,225.29,225.29,1,1
US7170811035,PFE,"PFIZER INC.        DL-,05",Common stock,EUR,2506553,2020-12-07,15:33,33.3,33.3,33.3,33.3,44,2
LU2008763935,EEPG,BNP PE-F.E/N.DEXUKG U.ETF,ETF,EUR,4541243,2020-12-07,15:33,9.317,9.317,9.317,9.317,1577,1
DE000DWS1007,DWS,DWS GROUP GMBH+CO.KGAA ON,Common stock,EUR,3089123,2020-12-07,15:33,34.18,34.185,34.18,34.185,428,6
IE00B3WJKG14,QDVE,ISHSV-S+500INF.T.SECT.DLA,ETF,EUR,2505642,2020-12-07,15:33,13.07,13.07,13.07,13.07,486,1
DE000TUAG000,TUI1,TUI AG NA O.N.,Common stock,EUR,2504855,2020-12-07,15:33,5.048,5.048,5.048,5.048,100,1
IE00B3XXRP09,VUSA,VANGUARD S+P 500U.ETF DLD,ETF,EUR,2749249,2020-12-07,15:33,57.86,57.86,57.86,57.86,200,1
IE00BGPP6697,IBB1,ISHSII-DLT.BD7-10YR EODH,ETF,EUR,3878664,2020-12-07,15:33,5.5134,5.5134,5.5134,5.5134,1742,1
IE00BNH72088,ZPRC,SPDR REF.GBL CONV.BD D,ETF,EUR,2505464,2020-12-07,15:33,41.544,41.544,41.544,41.544,393,1
DE000A0H08H3,EXH3,IS.S.E.600 FO.+B.U.ETF A.,ETF,EUR,2504326,2020-12-07,15:33,69.82,69.82,69.82,69.82,162,1
LU1296758029,CCAP,CORESTATE CAPITAL HLDG,Common stock,EUR,2506149,2020-12-07,15:33,15.08,15.08,15.06,15.06,666,4
IE00B1TXK627,IQQQ,ISHSII-GL.WATER DLDIS,ETF,EUR,2505595,2020-12-07,15:33,44.245,44.245,44.245,44.245,6,1
DE000A0JBPG2,PNE3,PNE AG  NA O.N.,Common stock,EUR,2504337,2020-12-07,15:33,7.69,7.69,7.69,7.69,655,2
DE0006070006,HOT,HOCHTIEF AG,Common stock,EUR,2505009,2020-12-07,15:33,80.6,80.6,80.55,80.55,150,2
DE000A2E4K43,DHER,DELIVERY HERO SE NA O.N.,Common stock,EUR,2518798,2020-12-07,15:33,100.15,100.15,100.1,100.1,2775,10
NL0015436031,5CV,CUREVAC N.V.   O.N.,Common stock,EUR,5550038,2020-12-07,15:33,91.5,91.5,91.5,91.5,11,1
IE00BL25JP72,XDEM,X(IE)-MSCI WRLD MOM. 1CDL,ETF,EUR,2505449,2020-12-07,15:33,39.45,39.45,39.45,39.45,126,1
DE000BFB0019,B4B,METRO AG   ST O.N.,Common stock,EUR,2532386,2020-12-07,15:33,7.622,7.622,7.622,7.622,11,2
DE0007165631,SRT3,SARTORIUS AG VZO O.N.,Common stock,EUR,2505079,2020-12-07,15:33,361.4,361.4,361.4,361.4,10,1
IE00B4L5YX21,EUNN,ISHSIII-C.MSCI JP.IMI DLA,ETF,EUR,2505655,2020-12-07,15:33,40.192,40.192,40.191,40.191,1267,2
DE000A0D6554,NDX1,NORDEX SE O.N.,Common stock,EUR,2504290,2020-12-07,15:33,19.07,19.1,19.06,19.1,2328,6
DE000A111338,AM3D,SLM SOLUTIONS GRP AG,Common stock,EUR,2504550,2020-12-07,15:33,17.1,17.1,17.1,17.1,25,1
DE000A1TNV91,ADE,BITCOIN GROUP SE  O.N.,Common stock,EUR,2504520,2020-12-07,15:33,50,50,50,50,18,1
IE00BDZZTM54,2B7J,ISHSIV-MSCI WLD.SRI U.DLD,ETF,EUR,3875862,2020-12-07,15:33,5.811,5.811,5.811,5.811,21700,1
IT0003128367,ENL,ENEL S.P.A.          EO 1,Common stock,EUR,2505805,2020-12-07,15:33,8.182,8.182,8.182,8.182,250,1
DE0006219934,JUN3,JUNGHEINRICH AG O.N.VZO,Common stock,EUR,2505020,2020-12-07,15:33,36.4,36.4,36.4,36.4,180,1
US30303M1027,FB2A,"FACEBOOK INC.A DL-,000006",Common stock,EUR,2506484,2020-12-07,15:33,236.7,236.7,236.7,236.7,46,1
DE000A1EWWW0,ADS,ADIDAS AG NA O.N.,Common stock,EUR,2504471,2020-12-07,15:33,278.4,278.5,278.4,278.5,474,6
IE00BZ036J45,XDGE,X(IE)-USD CORP.BD 2DEOH,ETF,EUR,2505565,2020-12-07,15:33,15.326,15.326,15.326,15.326,6600,2
DE000FTG1111,FTK,FLATEXDEGIRO AG NA O.N.,Common stock,EUR,2504808,2020-12-07,15:33,55.3,55.3,55.3,55.3,60,1
LU1834988518,LTUG,LIF-600 TECHN. EOA,ETF,EUR,3768610,2020-12-07,15:33,65.4,65.4,65.4,65.4,55,1
IE00B1FZS467,IQQI,ISHSII-GL INFRASTR.DLDIS,ETF,EUR,2505588,2020-12-07,15:33,24.455,24.455,24.455,24.455,140,1
LU0839027447,XDJP,XTR.NIKKEI 225 1D,ETF,EUR,2506063,2020-12-07,15:33,21.72,21.72,21.72,21.72,200,1
DE0005933931,EXS1,ISHS CORE DAX UCITS ETF,ETF,EUR,2504265,2020-12-07,15:33,112.94,112.94,112.94,112.94,18,1
DE000WAF3001,WAF,SILTRONIC AG NA O.N.,Common stock,EUR,2504859,2020-12-07,15:33,124.75,124.75,124.75,124.75,208,5
LU0322250712,DX2D,XTR.LPX PRIV.EQU.SWAP 1C,ETF,EUR,2505875,2020-12-07,15:33,65.99,65.99,65.99,65.99,530,1
DE0008430026,MUV2,MUENCH.RUECKVERS.VNA O.N.,Common stock,EUR,2505134,2020-12-07,15:33,238.6,238.6,238.6,238.6,324,10
US0231351067,AMZ,"AMAZON.COM INC.    DL-,01",Common stock,EUR,2506427,2020-12-07,15:33,2598,2598,2598,2598,5,1
IE00B14X4T88,IQQX,ISHS-ASIA PAC.DIV.DL D,ETF,EUR,2505603,2020-12-07,15:33,19.316,19.316,19.316,19.316,57,1
DE000A0N4N52,NFN,NFON AG  INH O.N.,Common stock,EUR,3175780,2020-12-07,15:33,17,17,17,17,268,2
LU2197908721,NADQ,MUL-LYX.NASDAQ DLA,ETF,EUR,5580653,2020-12-07,15:33,109.06,109.06,109.06,109.06,901,1
US3364331070,F3A,"FIRST SOLAR INC. D -,001",Common stock,EUR,2506486,2020-12-07,15:33,74.23,74.23,74.23,74.23,100,1
DK0010268606,VWS,VESTAS WIND SYST. NAM.DK1,Common stock,EUR,2505138,2020-12-07,15:33,166.1,166.1,166.1,166.1,1,1
DE0007297004,SZU,SUEDZUCKER AG  O.N.,Common stock,EUR,2505095,2020-12-07,15:33,13.37,13.37,13.37,13.37,5,1
DE000A0B9N37,JDC,JDC GROUP AG O.N.,Common stock,EUR,2504284,2020-12-07,15:33,9.62,9.62,9.62,9.62,750,1
LU1066226637,STM,"STABILUS S.A. INH. EO-,01",Common stock,EUR,2506096,2020-12-07,15:33,60.05,60.05,60,60,126,3
DE000A0S9GB0,4GLD,DT.BOERSE COM. XETRA-GOLD,ETC,EUR,2506202,2020-12-07,15:33,49.288,49.288,49.288,49.288,31,1
NL0012169213,QIA,"QIAGEN NV         EO -,01",Common stock,EUR,2506272,2020-12-07,15:33,40.14,40.16,40.14,40.16,712,6
DE000EVNK013,EVK,EVONIK INDUSTRIES NA O.N.,Common stock,EUR,2504806,2020-12-07,15:33,26.02,26.02,26.02,26.02,577,2
DE0008051004,WUW,WUESTENROT+WUERTT.AG O.N.,Common stock,EUR,2505128,2020-12-07,15:33,16.68,16.68,16.68,16.68,24,1
LU1834983550,LBRE,LIF-600 BAS.RE. EOA,ETF,EUR,3768606,2020-12-07,15:33,65.86,65.86,65.86,65.86,101,1
AT0000743059,OMV,OMV AG,Common stock,EUR,2504175,2020-12-07,15:33,31.86,31.86,31.86,31.86,121,1
LU0328476410,DX2Z,XTR.S+P SEL.FRONT.SWAP 1C,ETF,EUR,2505888,2020-12-07,15:33,11.95,11.95,11.95,11.95,1,1
DE0005104400,AOF,ATOSS SOFTWARE AG,Common stock,EUR,2504882,2020-12-07,15:33,132,132,132,132,12,1
DE000A1PHFF7,BOSS,HUGO BOSS AG NA O.N.,Common stock,EUR,2504512,2020-12-07,15:33,27.53,27.53,27.53,27.53,401,1
DE000LED4000,OSR,OSRAM LICHT AG NA O.N.,Common stock,EUR,2504813,2020-12-07,15:33,51.94,51.94,51.94,51.94,84,1
DE000A0LD2U1,AOX,ALSTRIA OFFICE REIT-AG,Common stock,EUR,2504379,2020-12-07,15:33,14.29,14.29,14.29,14.29,2285,5
DE000A1K0235,SMHN,SUESS MICROTEC SE NA O.N.,Common stock,EUR,2504495,2020-12-07,15:33,19.16,19.16,19.16,19.16,54,1
